"caption","ownerFullName","ownerUsername","url","commentsCount","firstComment","likesCount","timestamp","queryTag"
"Luxury in liquid form 🖤🤍

From left to right: Anejo, Blanco, Extra Anejo. Also available in Reposado and Blanco “Gold Flakes”","Agave Amigos","agave.amigos","https://www.instagram.com/p/DGfAUmNzKH5/","0","","16","2025-02-25T05:42:20.000Z",
"Prickly on the outside, smooth on the inside 🌵🥃 DM to order 💚","Agave Amigos","agave.amigos","https://www.instagram.com/p/DNPnGexTbg1/","0","","15","2025-08-12T05:53:06.000Z",
"this and a perfect sunset 🌅🥥🤎","Agave Amigos","agave.amigos","https://www.instagram.com/p/DK3iI4JzIW1/","1","hm","20","2025-06-14T04:25:10.000Z",
"Mini Clase Azul disposables available for pre-order now! DM for flavors & pricing 💛","Agave Amigos","agave.amigos","https://www.instagram.com/p/DM3BrpQJpKZ/","37","Hm","213","2025-08-02T16:44:21.000Z",
"approved by the one and only Tita Small and your very own agave amiga 🥳👍🏼

PS: a friendly reminder to drink responsibly 😎","Agave Amigos","agave.amigos","https://www.instagram.com/p/DHSMv4MzPLN/","3","Hm","100","2025-03-17T02:52:11.000Z",
"Golden hour, but make it tequila. 🌅🥃","Agave Amigos","agave.amigos","https://www.instagram.com/p/DGFWOhPTi0g/","4","Hm","18","2025-02-15T06:33:29.000Z",
"A trio of smooth sophistication. Which one’s your pick? 👀","Agave Amigos","agave.amigos","https://www.instagram.com/p/DGFUo26TGCI/","0","","6","2025-02-15T06:19:36.000Z",
"Big shoutout to @laureen for the epic unboxing! 🥳 We’re thrilled you loved the tequila package we put together just for you. We can’t wait for you and your friends to enjoy it over the long weekend!🥂🍹 

Featuring the Mandala Anejo and Dulce Amargura Reposado Calavera 🤠

@boxesandbowsgiftco 
@printandpressph 
@dreamspacemnl","Agave Amigos","agave.amigos","https://www.instagram.com/p/C-6g1R8SJ7t/","0","","32","2024-08-21T02:00:53.000Z",
"Mandala 2024 Dia De Muertos 💀🧡","Agave Amigos","agave.amigos","https://www.instagram.com/p/DGsaxO3zHHH/","0","","43","2025-03-02T10:43:33.000Z",
"Weekends with @janinamanipol and @sebgilbert and of course, Clase Azul Plata 💛

Customized glasses and coasters from @boxesandbowsgiftco","Agave Amigos","agave.amigos","https://www.instagram.com/p/C8lZZMwyTOq/","4","🤍🥃","41","2024-06-24T04:04:07.000Z",
"Aged to perfection, designed to impress - La Cofradia Torres de Picos Reposado and Anejo ✨","Agave Amigos","agave.amigos","https://www.instagram.com/p/DHxRwTiT1oP/","2","how much","22","2025-03-29T04:32:23.000Z",
"The Dos Artes Anejo Limited Edition 2023 🌹

Showcasing a unique and intricate skull design, rooted in Mexican culture, often associated with the Day of the Dead celebrations, making it a sought-after collector’s item for many tequila enthusiasts","Agave Amigos","agave.amigos","https://www.instagram.com/p/DFKy2o7T5pE/","0","","19","2025-01-23T12:48:26.000Z",
